2017-08-17 12:34:02,951 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-17 12:49:12,553 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-17 13:39:14,782 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-17 14:09:09,454 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-17 14:16:46,152 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-17 14:29:00,750 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-17 18:04:50,634 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-17 18:14:32,136 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-17 18:20:27,852 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-17 18:21:49,849 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-17 18:42:41,327 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-17 18:43:55,013 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-17 18:52:50,874 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-17 18:56:20,495 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
2017-08-17 19:24:38,949 | IAS.Logger | DEBUG | Usuario accesado: Christian Balbuena
